CVE_ZM,NOM_ENT,NOM_MUN,POB_2015
9.01,Ciudad de México,Azcapotzalco,400161
9.01,Ciudad de México,Coyoacán,608479
9.01,Ciudad de México,Cuajimalpa de Morelos,199224
9.01,Ciudad de México,Gustavo A. Madero,1164477
9.01,Ciudad de México,Iztacalco,390348
9.01,Ciudad de México,Iztapalapa,1827868
9.01,Ciudad de México,La Magdalena Contreras,243886
9.01,Ciudad de México,Milpa Alta,137927
9.01,Ciudad de México,álvaro Obregón,749982
9.01,Ciudad de México,Tláhuac,361593
9.01,Ciudad de México,Tlalpan,677104
9.01,Ciudad de México,Xochimilco,415933
9.01,Ciudad de México,Benito Juárez,417416
9.01,Ciudad de México,Cuauhtémoc,532553
9.01,Ciudad de México,Miguel Hidalgo,364439
9.01,Ciudad de México,Venustiano Carranza,427263
9.01,Hidalgo,Tizayuca,119442
9.01,México,Acolman,152506
9.01,México,Amecameca,50904
9.01,México,Apaxco,29347
9.01,México,Atenco,62392
9.01,México,Atizapán de Zaragoza,523296
9.01,México,Atlautla,30945
9.01,México,Axapusco,27709
9.01,México,Ayapango,9863
9.01,México,Coacalco de Berriozábal,284462
9.01,México,Cocotitlán,14414
9.01,México,Coyotepec,41810
9.01,México,Cuautitlán,149550
9.01,México,Chalco,343701
9.01,México,Chiautla,29159
9.01,México,Chicoloapan,204107
9.01,México,Chiconcuac,25543
9.01,México,Chimalhuacán,679811
9.01,México,Ecatepec de Morelos,1677678
9.01,México,Ecatzingo,9414
9.01,México,Huehuetoca,128486
9.01,México,Hueypoxtla,43784
9.01,México,Huixquilucan,267858
9.01,México,Isidro Fabela,11726
9.01,México,Ixtapaluca,495563
9.01,México,Jaltenco,27825
9.01,México,Jilotzingo,19013
9.01,México,Juchitepec,25436
9.01,México,Melchor Ocampo,57152
9.01,México,Naucalpan de Juárez,844219
9.01,México,Nezahualcóyotl,1039867
9.01,México,Nextlalpan,39666
9.01,México,Nicolás Romero,410118
9.01,México,Nopaltepec,8960
9.01,México,Otumba,35274
9.01,México,Ozumba,29114
9.01,México,Papalotla,3963
9.01,México,La Paz,293725
9.01,México,San Martín de las Pirámides,26960
9.01,México,Tecámac,446008
9.01,México,Temamatla,12984
9.01,México,Temascalapa,38622
9.01,México,Tenango del Aire,12470
9.01,México,Teoloyucan,66518
9.01,México,Teotihuacán,56993
9.01,México,Tepetlaoxtoc,30680
9.01,México,Tepetlixpa,19843
9.01,México,Tepotzotlán,94198
9.01,México,Tequixquiac,36902
9.01,México,Texcoco,240749
9.01,México,Tezoyuca,41333
9.01,México,Tlalmanalco,47390
9.01,México,Tlalnepantla de Baz,700734
9.01,México,Tultepec,150182
9.01,México,Tultitlán,520557
9.01,México,Villa del Carbón,47151
9.01,México,Zumpango,199069
9.01,México,Cuautitlán Izcalli,531041
9.01,México,Valle de Chalco Solidaridad,396157
9.01,México,Tonanitla,9728
